#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ResourceId","InDesiredState"
"[UserRightsAssignment]2.2.18 - (L1) Ensure Create symbolic links is set to Administrators NT VIRTUAL MACHINEVirtual Machines (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.19 - (L1) Ensure Debug programs is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.28 - (L1) Ensure Enable computer and user accounts to be trusted for delegation is set to No One (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.29 - (L1) Ensure Force shutdown from a remote system is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.30 - (L1) Ensure Generate security audits is set to LOCAL SERVICE NETWORK SERVICE::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.32 - (L1) Ensure Impersonate a client after authentication is set to Administrators LOCAL SERVICE NETWORK SERVICE SERVICE and (when the Web Server (IIS) Role with Web Services Role Service is installed) IISIUSRS (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.33 - (L1) Ensure Increase scheduling priority is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.34 - (L1) Ensure Load and unload device drivers is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.35 - (L1) Ensure Lock pages in memory is set to No One::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.38 - (L1) Ensure Manage auditing and security log is set to Administrators (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.39 - (L1) Ensure Modify an object label is set to No One::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.40 - (L1) Ensure Modify firmware environment values is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.41 - (L1) Ensure Perform volume maintenance tasks is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.42 - (L1) Ensure Profile single process is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.43 - (L1) Ensure Profile system performance is set to Administrators NT SERVICEWdiServiceHost::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.44 - (L1) Ensure Replace a process level token is set to LOCAL SERVICE NETWORK SERVICE::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[UserRightsAssignment]2.2.48 - (L1) Ensure Take ownership of files or other objects is set to Administrators::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[SecurityOption]2.3.1.3 - (L1) Ensure Accounts Guest account status is set to Disabled (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.1.4 - (L1) Ensure Accounts Limit local account use of blank passwords to console logon only is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.2.2 - (L1) Ensure Audit Shut down system immediately if unable to log security audits is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.4.2 - (L1) Ensure Devices Prevent users from installing printer drivers is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.6.1 - (L1) Ensure Domain member Digitally encrypt or sign secure channel data (always) is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.6.2 - (L1) Ensure Domain member Digitally encrypt secure channel data (when possible) is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.6.3 - (L1) Ensure Domain member Digitally sign secure channel data (when possible) is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.6.4 - (L1) Ensure Domain member Disable machine account password changes is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.6.5 - (L1) Ensure Domain member Maximum machine account password age is set to 30 or fewer days but not 0::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.6.6 - (L1) Ensure Domain member Require strong (Windows 2000 or later) session key is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.7.2 - (L1) Ensure Interactive logon Do not require CTRLALTDEL is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.8.2 - (L1) Ensure Microsoft network client Digitally sign communications (if server agrees) is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.8.3 - (L1) Ensure Microsoft network client Send unencrypted password to third-party SMB servers is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.9.1 - (L1) Ensure Microsoft network server Amount of idle time required before suspending session is set to 15 or fewer minute(s)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.9.4 - (L1) Ensure Microsoft network server Disconnect clients when logon hours expire is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[SecurityOption]2.3.10.1 - (L1) Ensure Network access Allow anonymous SIDName translation is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.10.2 - (L1) Ensure Network access Do not allow anonymous enumeration of SAM accounts is set to Enabled (MS only)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.10.5 - (L1) Ensure Network access Let Everyone permissions apply to anonymous users is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.10.8 - (L1) Configure Network access Remotely accessible registry paths::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.10.10 - (L1) Ensure Network access Restrict anonymous access to Named Pipes and Shares is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.10.13 - (L1) Ensure Network access Sharing and security model for local accounts is set to Classic - local users authenticate as themselves::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.11.5 - (L1) Ensure Network security Do not store LAN Manager hash value on next password change is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.11.8 - (L1) Ensure Network security LDAP client signing requirements is set to Negotiate signing or higher::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.13.1 - (L1) Ensure Shutdown Allow system to be shut down without having to log on is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.15.1 - (L1) Ensure System objects Require case insensitivity for non-Windows subsystems is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.15.2 - (L1) Ensure System objects Strengthen default permissions of internal system objects (e.g. Symbolic Links) is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.17.4 - (L1) Ensure User Account Control Detect application installations and prompt for elevation is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.17.5 - (L1) Ensure User Account Control Only elevate UIAccess applications that are installed in secure locations is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.17.6 - (L1) Ensure User Account Control Run all administrators in Admin Approval Mode is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.17.7 - (L1) Ensure User Account Control Switch to the secure desktop when prompting for elevation is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]2.3.17.8 - (L1) Ensure User Account Control Virtualize file and registry write failures to per-user locations is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.1.1 - (L1) Ensure Audit Credential Validation is set to Success and Failure (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.2.5 - (L1) Ensure Audit Security Group Management is set to include Success (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.2.5 - (L1) Ensure Audit Security Group Management is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.2.6 - (L1) Ensure Audit User Account Management is set to Success and Failure (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.3.1 - (L1) Ensure Audit PNP Activity is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.3.2 - (L1) Ensure Audit Process Creation is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.2 - (L1) Ensure Audit Group Membership is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.3 - (L1) Ensure Audit Logoff is set to include Success (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.3 - (L1) Ensure Audit Logoff is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.4 - (L1) Ensure Audit Logon is set to Success and Failure (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.4 - (L1) Ensure Audit Logon is set to Success and Failure (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.6 - (L1) Ensure Audit Special Logon is set to include Success (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.5.6 - (L1) Ensure Audit Special Logon is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.6.1 - (L1) Ensure Audit Detailed File Share is set to include Failure (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.7.1 - (L1) Ensure Audit Audit Policy Change is set to include Success (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.7.1 - (L1) Ensure Audit Audit Policy Change is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.7.2 - (L1) Ensure Audit Authentication Policy Change is set to include Success (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.7.2 - (L1) Ensure Audit Authentication Policy Change is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.7.3 - (L1) Ensure Audit Authorization Policy Change is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.7.5 - (L1) Ensure Audit Other Policy Change Events is set to include Failure (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.2 - (L1) Ensure Audit Other System Events is set to Success and Failure (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.2 - (L1) Ensure Audit Other System Events is set to Success and Failure (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.3 - (L1) Ensure Audit Security State Change is set to include Success (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.3 - (L1) Ensure Audit Security State Change is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.4 - (L1) Ensure Audit Security System Extension is set to include Success (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.5 - (L1) Ensure Audit System Integrity is set to Success and Failure (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[AuditPolicySubcategory]17.9.5 - (L1) Ensure Audit System Integrity is set to Success and Failure (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.3.4 - (L1) Ensure Enable Structured Exception Handling Overwrite Protection (SEHOP) is set to Enabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.21.5 - (L1) Ensure Turn off background refresh of Group Policy is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.36.1 - (L1) Ensure Configure Offer Remote Assistance is set to Disabled (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.36.1 - (L1) Ensure Configure Offer Remote Assistance is set to Disabled (3)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.36.2 - (L1) Ensure Configure Solicited Remote Assistance is set to Disabled (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.36.2 - (L1) Ensure Configure Solicited Remote Assistance is set to Disabled (3)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.36.2 - (L1) Ensure Configure Solicited Remote Assistance is set to Disabled (4)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.8.36.2 - (L1) Ensure Configure Solicited Remote Assistance is set to Disabled (5)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.86.1 - (L1) Ensure Sign-in and lock last interactive user automatically after a restart is set to Disabled::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.95.1 - (L1) Ensure Turn on PowerShell Script Block Logging is set to Disabled (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.95.2 - (L1) Ensure Turn on PowerShell Transcription is set to Disabled (2)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.95.2 - (L1) Ensure Turn on PowerShell Transcription is set to Disabled (3)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (1)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (3)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (6)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (7)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (8)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (9)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
"[Registry]18.9.102.2 - (L1) Ensure Configure Automatic Updates is set to Enabled (10)::[CIS_Microsoft_Windows_Server_2016_Member_Server_Release_1607]CIS Benchmarks","True"
